"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://ditex.com.pl/","https://ditexnazwa.nazwa.pl/ditex_com_pl/kategoria-produktu/roger-technology/","36","","więcej","404","Not Found","true","_blank","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[2]/div/div/div[@id='depicter-2']/div[@id='depicter-2-section-56']/a[1]","Content","HTML"
"Hyperlink","https://ditex.com.pl/","https://ditexnazwa.nazwa.pl/ditex_com_pl/kategoria-produktu/roger-technology/","36","","Więcej","404","Not Found","true","_blank","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[2]/div/div/div[@id='depicter-2']/div[@id='depicter-2-section-56']/a[2]","Content","HTML"
"Hyperlink","https://ditex.com.pl/","https://ditexnazwa.nazwa.pl/ditex_com_pl/kategoria-produktu/roger-technology/","36","","Więcej","404","Not Found","true","_blank","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[2]/div/div/div[@id='depicter-2']/div[@id='depicter-2-section-84']/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/","https://ditexnazwa.nazwa.pl/ditex_com_pl/kategoria-produktu/roger-technology/","36","","Więcej","404","Not Found","true","_blank","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[2]/div/div/div[@id='depicter-2']/div[@id='depicter-2-section-3']/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/","https://ditexnazwa.nazwa.pl/ditex_com_pl/kategoria-produktu/roger-technology/","36","","Więcej","404","Not Found","true","_blank","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[2]/div/div/div[@id='depicter-2']/div[@id='depicter-2-section-70']/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/","https://ditexnazwa.nazwa.pl/ditex_com_pl/kategoria-produktu/roger-technology/","36","","Więcej","404","Not Found","true","_blank","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[2]/div/div/div[@id='depicter-2']/div[@id='depicter-2-section-77']/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/blog/ditex-razem-dla-lucjanka/","https://www.siepomaga.pl/zycie-lucjanka?fbclid=IwY2xjawFaDbNleHRuA2FlbQIxMAABHXfeatUdiacZTZi4gcRmZuHDaXfHMOA7KmaPYfqR4izOdIhOR0xyKcsDmg_aem_Tp58OXu6hmlIObFtVLanKg","0","","https://www.siepomaga.pl/zycie-lucjanka?fbclid=IwY2xjawFaDbNleHRuA2FlbQIxMAABHXfeatUdiacZTZi4gcRmZuHDaXfHMOA7KmaPYfqR4izOdIhOR0xyKcsDmg_aem_Tp58OXu6hmlIObFtVLanKg","403","Forbidden","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[2]/div[@class='nm-post-body']/div/div[1]/article/div/p[30]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll/","https://ditex.com.pl/?post_type=product&p=3608","22990","ANEMOMETR","","404","Not Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[@id='product-3191']/div[2]/div/div[@id='tab-custom_tab_6']/div/div/div/div/ul[@class='product-list'][4]/li[1]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll/","https://ditex.com.pl/?post_type=product&p=3608","22990","","ANEMOMETR","404","Not Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[@id='product-3191']/div[2]/div/div[@id='tab-custom_tab_6']/div/div/div/div/ul[@class='product-list'][4]/li[1]/h3/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-air/","https://ditex.com.pl/?post_type=product&p=3608","22990","ANEMOMETR","","404","Not Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[@id='product-3640']/div[2]/div/div[@id='tab-custom_tab_6']/div/div/div/div/ul[@class='product-list'][4]/li[1]/a","Content","HTML"
