"Site Crawled","https://ditex.com.pl/"
"Date","2025-04-03"
"Time","19:52:49"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","1880","100,00%","1880","URLs Encountered"
"Total URLs Crawled","1757","93,46%","1880","URLs Encountered"
"Total Internal blocked by robots.txt","0","0,00%","1880","URLs Encountered"
"Total External blocked by robots.txt","123","6,54%","1880","URLs Encountered"
""
"URLs Displayed","1880","100,00%","1880","URLs Displayed"
"Total Internal URLs","1725","91,76%","1880","URLs Displayed"
"Total External URLs","155","8,24%","1880","URLs Displayed"
"Total Internal Indexable URLs","1225","65,16%","1880","URLs Displayed"
"Total Internal Non-Indexable URLs","500","26,60%","1880","URLs Displayed"
""
"Internal"
"All","1725","100,00%","1725","Internal URLs"
"HTML","670","38,84%","1725","Internal URLs"
"JavaScript","3","0,17%","1725","Internal URLs"
"CSS","24","1,39%","1725","Internal URLs"
"Images","1028","59,59%","1725","Internal URLs"
"Media","0","0,00%","1725","Internal URLs"
"Fonts","0","0,00%","1725","Internal URLs"
"XML","0","0,00%","1725","Internal URLs"
"PDF","0","0,00%","1725","Internal URLs"
"Plugins","0","0,00%","1725","Internal URLs"
"Other","0","0,00%","1725","Internal URLs"
"Unknown","0","0,00%","1725","Internal URLs"
""
"External"
"All","155","100,00%","155","External URLs"
"HTML","30","19,35%","155","External URLs"
"JavaScript","0","0,00%","155","External URLs"
"CSS","1","0,65%","155","External URLs"
"Images","0","0,00%","155","External URLs"
"Media","0","0,00%","155","External URLs"
"Fonts","0","0,00%","155","External URLs"
"XML","0","0,00%","155","External URLs"
"PDF","0","0,00%","155","External URLs"
"Plugins","0","0,00%","155","External URLs"
"Other","1","0,65%","155","External URLs"
"Unknown","123","79,35%","155","External URLs"
""
"Security"
"All","1725","100,00%","1725","All internal and non-HTML external URLs"
"HTTP URLs","0","0,00%","1725","All internal and non-HTML external URLs"
"HTTPS URLs","1725","100,00%","1725","All internal and non-HTML external URLs"
"Mixed Content","0","0,00%","1725","All internal and non-HTML external URLs"
"Form URL Insecure","0","0,00%","1725","All internal and non-HTML external URLs"
