"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://ditex.com.pl/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","NGR","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/div[2]/div/div/div[@class='category-wrapper']/div[@class='category-item'][3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/blog/dynamicroll-ms150-niezawodna-ochrona-dla-maszyn-i-linii-produkcyjnych/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/blog/dynamicroll-ms150-niezawodna-ochrona-dla-maszyn-i-linii-produkcyjnych/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/blog/spotkanie-partnerow-ditex-2024-wyjatkowe-chwile-pelne-sukcesow-i-wspolnej-pasji/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/blog/spotkanie-partnerow-ditex-2024-wyjatkowe-chwile-pelne-sukcesow-i-wspolnej-pasji/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/do-pobrania/amtr/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/do-pobrania/amtr/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/kategoria-produktu/ngr/bramy-przeciwpozarowe/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
